Title,Author,Rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.35 avg rating — 9,638,928 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,657,406 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,714,763 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,705,625 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,812,521 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.67 avg rating — 7,149,992 ratings"
Animal Farm,George Orwell,"4.01 avg rating — 4,383,075 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 141,877 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 696,007 ratings"
The Fault in Our Stars,John Green,"4.12 avg rating — 5,600,790 ratings"
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,795,580 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,213,126 ratings"
Wuthering Heights,Emily Brontë,"3.90 avg rating — 1,967,653 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,350,318 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,705,625 ratings"
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,247,342 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.24 avg rating — 1,955,848 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.33 avg rating — 2,388,632 ratings"
Jane Eyre,Charlotte Brontë,"4.16 avg rating — 2,268,464 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,756,529 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.28 avg rating — 1,032,238 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"3.93 avg rating — 2,481,774 ratings"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 599,321 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.13 avg rating — 4,300,007 ratings"
Memoirs of a Geisha,Arthur Golden,"4.16 avg rating — 2,086,573 ratings"
Les Misérables,Victor Hugo,"4.21 avg rating — 832,284 ratings"
The Alchemist,Paulo Coelho,"3.92 avg rating — 3,449,525 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.32 avg rating — 1,084,324 ratings"
Lord of the Flies,William Golding,"3.70 avg rating — 3,128,886 ratings"
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,775,541 ratings"
Brave New World,Aldous Huxley,"really liked it4.00 avg rating — 2,193,272 ratings"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.22 avg rating — 1,976,326 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.07 avg rating — 2,134,110 ratings"
The Help,Kathryn Stockett,"4.47 avg rating — 2,970,277 ratings"
Dracula,Bram Stoker,"4.02 avg rating — 1,421,612 ratings"
Charlotte’s Web,E.B. White,"4.21 avg rating — 2,000,887 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,734,927 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,762,825 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,453,188 ratings"
