id,title,authors,publisher,publishedDate,categories,averageRating,ratingsCount,pageCount,language,description
mETODwAAQBAJ,Das Science Fiction Jahr 2019,"Melanie Wylutzki, Hardy Kettlitz",Hirnkost,2020-02-06,Fiction,,,743,de,"Auf posthumanistischen Wegen – der Rundgang durch die Science Fiction 2019 ""Das Science Fiction Jahr"" ist ein Kompendium, das seit 1986 in ununterbrochener Folge erscheint – erst im Heyne Verlag unter der Schirmherrschaft von Wolfgang Jeschke, dann unter Federführer Sascha Mamczak, und seit 2015 im Golkonda Verlag, ab 2020 bei Hirnkost. Das Science Fiction Jahr 2019 blickt auf das zurück, was die Science Fiction in Buch, Film, Spiel und Allgemeinen im letzten Jahr zu bieten hatte. Ein spezieller"
PRElEQAAQBAJ,Das Science Fiction Jahr 2024,"Judith Vogt, Christian Vogt, Dietmar Dath, Lena Richter, Hans Esselborn, Simon Spiegel, Stephan Schulz, Karlheinz Steinmüller, Uwe Neuhold, Paul Trenton, Tamara Bodden, Christian Hoffmann, Wolfgang Both, Wolfgang Neuhaus, Erik Simon, Michael Wehren, Fritz Heidorn, Aiki Mira, Markus Tillmann, Kai U. Jürgens, Bernd Flessner, Thorsten Hanisch, Lisa Meinecke, Christian Endres, Dominik Irtenkauf, Peter Kempin, Gundula Sell, Alex Stoll, Ralf Lorenz, Yvonne Tunnat, Simon Weinert, Udo Klotz, Lutz Göllner, Matthias Hofmann, Johannes Hahn, Markus Mäurer, Heike Lindhold, Christian Pree",Hirnkost,2024-10-03,Fiction,,,592,de,"Ob ernsthafte Bedrohung oder Chance für die Menschheit – künstliche Intelligenz ist ein immer wiederkehrendes Thema in der Science Fiction, von Klassikern wie E. M. Forsters Die Maschine steht still, Asimovs Roboter-Romane über die NEUROMANCER-Reihe von William Gibson bis hin zu zeitgenössischen Werken wie Pantopia von Theresa Hannig oder Martha Wells' MURDERBOT-Reihe. Inzwischen ist KI jedoch nicht allein Thema in Romanen – KI ist jetzt: ChatGPT, Dall-E, DeepL und Midjourney etc. sind in aller "
HgNPEQAAQBAJ,Das Rätsel der Kalythar und 10 weitere Science Fiction Abenteuer,Alfred Bekker,Uksak E-Books,2025-03-17,Fiction,,,902,de,"Dieser Band enthält folgende Geschichten: Alfred Bekker: Der Schiffsarzt ist ein Echsenmensch Alfred Bekker: Angriff auf Acan Alfred Bekker: Ferne Raumzeit Alfred Bekker: Höllenplanet Alfred Bekker: Signale aus dem nichts Alfred Bekker: Das Artefakt Alfred Bekker: Logan und die Stadt im Dschungel Alfred Bekker: Operation Delta Alfred Bekker: Raumschiff TERRA NOVA und das Erbe der Sterne Alfred Bekker: Das Geheimnis der Robos Alfred Bekker: Das Rätsel der Kalythar xx Die TERRA NOVA, ein Raumschif"
izjmEAAAQBAJ,Auf zwei Planeten (Science-Fiction Klassiker),Kurd Laßwitz,Good Press,2024-01-02,Fiction,,,758,de,"In ""Auf zwei Planeten"" entführt Kurd Laßwitz die Leser in eine fesselnde Utopie, in der die Menschheit auf dem Planeten Venus auf intelligente Lebensformen trifft. Laßwitz balanciert geschickt zwischen wissenschaftlichen Theorien und philosophischen Fragestellungen, wodurch das Werk sowohl eine spannende Erzählung als auch eine tiefgründige Reflexion über Menschheit, Ethik und interplanetarische Beziehungen darstellt. Der literarische Stil ist geprägt von einer ausdrucksvollen Prosa, die den Les"
c1zZEAAAQBAJ,4 Science Fiction Abenteuer Sonderband 1002,"Alfred Bekker, David Wright O'Brien, Manfred Weinland, Carolina Möbis",Uksak E-Books,2023-06-10,Fiction,,,568,de,"Dieser Band enthält folgende Romane: Der Held von Najn (Manfred Weinland/Carolina Möbis) Einsatzort Roter Stern (Alfred Bekker) Im Licht des Roten Sterns (Alfred Bekker) Der schwebende Roboter (David Wright O'Brien) Das Zentrum der Kampfformation von Space Army Corps Schiffen bildete eine Einheit der Dreadnought-Klasse. Zylinderförmig war sie, wie nahezu alle im Space Army Corps, die während des ersten Qriid–Krieges verwendet wurden. Die 834 m lange Dreadnought trug den Namen TARRAGONA und stand"
t1FpEQAAQBAJ,Science Fiction Dreierband 3103,"Dave Branford, Mara Laue, David Wright O'Brien",Uksak E-Books,2025-06-29,Fiction,,,319,de,"Dieser Band enthält folgende Science Fiction Abenteuer: David Wright O'Brien: In der Raumlegion Mara Laue: Der neue Offizier Dave Branford: Lennox und die Bibliothek der Apokalypse Die Kälte griff mit eisigen Fingern nach meinem Bewusstsein und ließ mich aus einem scheinbaren Albtraum erwachen. Doch der Albtraum war nicht verschwunden; er hatte sich in die Realität geflüchtet, in die Welt, die mich umgab. Eine Welt, die ich nicht mehr wiedererkannte. Ich öffnete die Augen, und mein Blick fiel in"
9UnZEAAAQBAJ,1200 Seiten Weltraum-Abenteuer Mai 2022: Science Fiction Paket,Alfred Bekker,Uksak E-Books,2022-05-20,Fiction,,,1382,de,1200 Seiten Weltraum-Abenteuer Mai 2022: Science Fiction Paket von Alfred Bekker Über diesen Band: Dieser Band enthält folgende Science Fiction Romane von Alfred Bekker: Herrscher über Galaxien (Galaxienwanderer) Commander im Sternenkrieg (Commander Reilly) Kosmischer Krisenherd (Commander Reilly) Aussichtslos (Chronik der Sternenkrieger) Schläfer (Chronik der Sternenkrieger) In Ruuneds Reich (Chronik der Sternenkrieger) Die verschwundenen Raumschiffe (Chronik der Sternenkrieger) Imperium der Er
XQnZEAAAQBAJ,Invasion der Vogelmenschen: Zwei Science Fiction Romane,"Alfred Bekker, Luc Bahl",Alfredbooks,2023-09-25,Fiction,,,258,de,"Dieser Band enthält folgende SF-Romane. Die Flotte der Qriid (Alfred Bekker) Verschwörung auf Qriidia (Luc Bahl) Sein Gesicht verriet mit keinem Schnabelklappern oder dem leisesten Kräuseln einer Falte, dass er etwas bemerkt hatte. Er schlich mit staksigem, vorsichtigem Gang im Schatten der hohen Mauer entlang und folgte den Geräuschen, die von der anderen Seite zu ihm drangen. Seine Hand glitt unter den Umhang, der sich im Wind aufbauschte, aber es gelang ihm nicht mehr, das, was er greifen wol"
NYD5FSeERakC,Desire and Domestic Fiction,Nancy Armstrong,Oxford University Press,1987-05-07,Language Arts & Disciplines,5,1,318,en,"Desire and Domestic Fictionargues that far from being removed from historical events, novels by writers from Richardson to Woolf were themselves agents of the rise of the middle class. Drawing on texts that range from 18th-century female conduct books and contract theory to modern psychoanalytic case histories and theories of reading, Armstrong shows that the emergence of a particular form of female subjectivity capable of reigning over the household paved the way for the establishment of instit"
yNEfpTpoNukC,Horror Fiction,Gina Wisker,A&C Black,2005-07-13,Literary Criticism,,,308,en,"This is a series of introductory books about different types of writing. One strand of the series focuses on genres such asScience Fiction, Horror, Romance, and Crime, and the other focuses on movements or styles often associated with historicaland cultural locations—Postcolonial, Native American, Scottish, Irish, American Gothic.Authors covered in this volume includeWilliam Peter Blatty, Ira Levine, BramStoker, Shirley Jackson, Angela Carter,Mary Shelley, Stephen King, Anne Rice,and Washington "
FHjheL8OXtUC,Crime Fiction,John Scaggs,Psychology Press,2005,Fiction,,,192,en,"Provides a lively introduction to what is both a wide-ranging and hugely popular literary genre. Accessible and clear, this comprehensive overview is the essential guide for all those studying crime fiction."
5Zpq0Rmm7hQC,The Distinction of Fiction,Dorrit Cohn,JHU Press,2000-12,Literary Criticism,,,214,en,"Winner of the Aldo and Jeanne Scaglione Prize for Comparative Literary Studies from the Modern Language Association Winner of the Modern Language Association's Aldo and Jeanne Scaglione Prize for Comparative Literary Studies The border between fact and fiction has been trespassed so often it seems to be a highway. Works of history that include fictional techniques are usually held in contempt, but works of fiction that include history are among the greatest of classics. Fiction claims to be able"
QkRMAAAAMAAJ,The Art of Fiction,Walter Besant,,1885,Fiction,,,106,en,
uVw-SnIn8dgC,Science/fiction Collections,Halbert W. Hall,Psychology Press,1983,Fiction,,,194,en,"Science/Fiction Collections offers different views and attitudes toward Science Fiction and Fantasy Literature and descriptions of a variety of collections. Written during a time when Science Fiction and Fantasy writings had just gained widespread popularity, it offers suggestions and considerations for approaching any special collection dealing with a relatively new field."
lALGYRHmqycC,A Geography of Victorian Gothic Fiction,Robert Mighall,OUP Oxford,2003,History,,,344,en,"This is the first major full-length study of Victorian Gothic fiction. Combining original readings of familiar texts with a rich store of historical sources, A Geography of Victorian Gothic Fiction is an historicist survey of nineteenth-century Gothic writing--from Dickens to Stoker, Wilkie Collins to Conan Doyle, through European travelogues, sexological textbooks, ecclesiastic histories and pamphlets on the perils of self-abuse. Critics have thus far tended to concentrate on specific angles of"
UgZsi_DOKoQC,Fan Fiction and Fan Communities in the Age of the Internet,"Karen Hellekson, Kristina Busse",McFarland,2014-09-17,Literary Criticism,,,297,en,"Fans have been responding to literary works since the days of Homer's Odyssey and Euripedes' Medea. More recently, a number of science fiction, fantasy, media, and game works have found devoted fan followings. The advent of the Internet has brought these groups from relatively limited, face-to-face enterprises to easily accessible global communities, within which fan texts proliferate and are widely read and even more widely commented upon. New interactions between readers and writers of fan tex"
-8iD6iuO-iAC,New Boundaries in Political Science Fiction,"Donald M. Hassler, Clyde Wilcox",Univ of South Carolina Press,2008,Literary Criticism,,,382,en,"This book offers an interpretation of the evolution of a growing genre in literary, film, and television.As a follow-up to their 1997 collection """"Political Science Fiction"""" Hassler and Wilcox have assembled twenty-four noted international scholars representing diverse fields of inquiry to assess the influential voices and trends from the past decade in """"New Boundaries in Political Science Fiction"""". The terrors and technologies that permeate our daily lives have changed radically in the past "
6t58GSNWSnQC,The Postsouthern Sense of Place in Contemporary Fiction,Martyn Bone,LSU Press,2005-06-01,Literary Criticism,,,300,en,"For generations, southern novelists and critics have grappled with a concept that is widely seen as a trademark of their literature: a strong attachment to geography, or a ""sense of place."" In the 1930s, the Agrarians accorded special meaning to rural life, particularly the farm, in their definitions of southern identity. For them, the South seemed an organic and rooted region in contrast to the North, where real estate development and urban sprawl evoked a faceless, raw capitalism. By the end o"
fZhNRI3KyRMC,"Discovering Fiction, An Introduction Teacher's Manual","Judith Kay, Kay Gelshenen, Karen McAlister Shimoda",Cambridge University Press,2008-05-12,Fiction,,,84,en,"Authentic North American short stories enhance students' reading skills, language learning, and enjoyment of literature. The Teacher's Manual provides tips and strategies on how to teach the different exercise types in a chapter. In addition, the authors provide interpretative commentary on the readings, helping teachers gain a literary appreciation of the text. Finally, a complete answer key is provided, including suggested answers to the critical thinking questions."
NznwlEC5jVQC,Impossibility Fiction,"Derek Littlewood, Peter Stockwell",Rodopi,1996,Literary Criticism,,,232,en,"Impossibility fiction is an 'intergenre' that has recently been the resort of many writers searching for new ways of understanding and expressing the real world of the imagination, making use of fantasy, alternative history and science fiction. Coping with ideas that are both impossible and realistically constructed is the ultimate contemporary challenge of our technology. The chapters of this book move towards establishing appropriate readings that allow contemporary readers to negotiate unreal"
WmKYoVsTxroC,Major Trends in the Post-independence Indian English Fiction,"B. R. Agrawal, M. P. Sinha",Atlantic Publishers & Dist,2003,Indic fiction (English),,,300,en,"This Book Presents A Reasonably Comprehensive Account Of The Development Of The Indian English Novel Since Independence. The Novel During The Colonial Period Has A Different Outlook And Was More Concerned With The Problems Of The Indian People Suffering Under The British Yoke. After Independence The Indian Writers Looked At The Indian Scene From The Postcolonial Point Of View. There Were New Hopes, No Doubt, But The Problems Social, Economic, Religious, Political And Familial That Were Submerged"
XG--8X3YDs4C,The Columbia Guide to Contemporary African American Fiction,Darryl Dickson-Carr,Columbia University Press,2005-10-14,Literary Collections,,,292,en,"From Ishmael Reed and Toni Morrison to Colson Whitehead and Terry McMillan, Darryl Dickson-Carr offers a definitive guide to contemporary African American literature. This volume-the only reference work devoted exclusively to African American fiction of the last thirty-five years-presents a wealth of factual and interpretive information about the major authors, texts, movements, and ideas that have shaped contemporary African American fiction. In more than 160 concise entries, arranged alphabeti"
NXmv0zXZBi4C,Science Fiction and Philosophy,Susan Schneider,John Wiley & Sons,2009-05-26,Philosophy,4,2,361,en,"A timely volume that uses science fiction as a springboard to meaningful philosophical discussions, especially at points of contact between science fiction and new scientific developments. Raises questions and examines timely themes concerning the nature of the mind, time travel, artificial intelligence, neural enhancement, free will, the nature of persons, transhumanism, virtual reality, and neuroethics Draws on a broad range of books, films and television series, including The Matrix, Star Tre"
BjI4-qex0JgC,The History of the Science-fiction Magazine,"Michael Ashley, Mike Ashley",Liverpool University Press,2000-01-01,Literary Criticism,5,1,316,en,"This is the first of three volumes that chart the history of the science fiction magazine from the earliest days to the present. This first volume looks at the exuberant years of the pulp magazines. It traces the growth and development of the science fiction magazines from when Hugo Gernsback launched the very first, Amazing Stories, in 1926 through to the birth of the atomic age and the death of the pulps in the early 1950s. These were the days of the youth of science fiction, when it was brash"
JDEDAAAAYAAJ,"Outing; sport, adventure, travel, fiction",,,1884,Sports,,,502,en,
Z3BDAAAAYAAJ,A Century of French Fiction,Benjamin Willis Wells,,1898,French fiction,,,420,en,Discusses 19th century French novelists and their influential works.
dlvpA43l68YC,"Twentieth-century Poetry, Fiction, Theory","Harry Raphael Garvin, John D. Kirkland",Bucknell University Press,1977,Literary Criticism,,,244,en,"The issues addressed in this volume include the limits of language and the need for linguistic form, the significance of creating."
kvtCAQAAMAAJ,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",,1894,Children's literature,,,210,en,"A catalog of juvenile and fiction books held by the Peoria Public Library, in one alphabetical listing."
EquizXeXb3kC,John Fowles's Fiction and the Poetics of Postmodernism,Mahmoud Salami,Associated University Presse,1992,Language Arts & Disciplines,,,312,en,"Salami presents, for instance, a critique of the self-conscious narrative of the diary form in The Collector, the intertextual relations of the multiplicity of voices, the problems of subjectivity, the reader's position, the politics of seduction, ideology, and history in The Magus and The French Lieutenant's Woman. The book also analyzes the ways in which Fowles uses and abuses the short-story genre, in which enigmas remain enigmatic and the author disappears to leave the characters free to con"
37FYAAAAMAAJ,A Library of Famous Fiction,,,1873,English fiction,,,1084,en,
M71GAQAAMAAJ,ʻTruth is Stranger Than Fiction',Isaac W. Ambler,,1883,United States,,,396,en,
ZKQCAAAAQAAJ,"The hero of the desert; or, Facts more wonderful than fiction. [With cancel title-leaf, reading] Moses, the hero of the desert",James Spong,,1874,,,,290,en,
FGJCAAAAYAAJ,Author and Title List of Fiction and Children's Stories,"Nahant Public Library, Nahant, Mass",,1895,Fiction,,,168,en,
DLUUAAAAYAAJ,A History of English Prose Fiction from Sir Thomas Malory to George Eliot,Bayard Tuckerman,,1882,English fiction,,,354,en,
